"","yr1status","YrFireName","Species","DBH_cm","Genus_species","CVS_percent","BCHM_m","BTL"
"1",1,"2006 - Tripod","2TREE",26.416,"Unknown",100,21.03,0
"2",1,"2006 - Tripod","2TREE",1.27,"Unknown",100,0.61,0
"3",1,"2006 - Tripod","2TREE",25.4,"Unknown",100,18.29,0
"4",1,"2006 - Tripod","2TREE",8.382,"Unknown",100,12.8,0
"5",1,"2006 - Tripod","2TREE",21.844,"Unknown",100,11.89,0
"6",1,"2006 - Tripod","2TREE",20.828,"Unknown",100,14.33,0
"7",1,"2006 - Tripod","2TREE",8.636,"Unknown",100,4.88,0
"8",1,"2006 - Tripod","2TREE",2.286,"Unknown",100,1.83,0
"9",1,"2006 - Tripod","2TREE",6.096,"Unknown",100,6.71,0
"10",1,"2006 - Tripod","2TREE",11.938,"Unknown",100,5.18,0
"11",1,"2006 - Tripod","2TREE",6.604,"Unknown",100,4.88,0
"12",1,"2006 - Tripod","2TREE",7.874,"Unknown",100,2.74,0
"13",1,"2006 - Tripod","2TREE",23.622,"Unknown",100,16.15,0
"14",1,"2006 - Tripod","2TREE",25.4,"Unknown",100,11.28,0
"15",1,"2006 - Tripod","2TREE",9.652,"Unknown",100,3.35,0
"16",1,"2006 - Tripod","2TREE",12.192,"Unknown",100,12.8,0
"17",1,"2006 - Tripod","2TREE",22.352,"Unknown",100,17.37,0
"19",1,"2006 - Tripod","2TREE",24.384,"Unknown",100,14.33,0
"20",1,"2006 - Tripod","2TREE",20.574,"Unknown",100,16.76,0
"21",1,"2006 - Tripod","2TREE",23.622,"Unknown",100,5.18,0
"22",1,"2006 - Tripod","2TREE",12.192,"Unknown",100,4.88,0
"23",1,"2006 - Tripod","2TREE",11.43,"Unknown",100,7.01,0
"24",1,"2006 - Tripod","2TREE",15.24,"Unknown",100,8.23,0
"25",1,"2006 - Tripod","2TREE",24.13,"Unknown",100,16.15,0
"26",1,"2006 - Tripod","2TREE",26.67,"Unknown",100,23.77,0
"27",1,"2006 - Tripod","2TREE",2.794,"Unknown",100,2.44,0
"28",1,"2006 - Tripod","2TREE",6.096,"Unknown",100,6.71,0
"29",1,"2006 - Tripod","2TREE",26.416,"Unknown",100,14.94,0
"30",1,"2006 - Tripod","2TREE",20.574,"Unknown",100,8.53,0
"31",1,"2006 - Tripod","2TREE",10.668,"Unknown",100,6.1,0
"32",1,"2006 - Tripod","2TREE",1.27,"Unknown",100,1.83,0
"33",1,"2006 - Tripod","2TREE",1.27,"Unknown",100,0.61,0
"34",1,"2006 - Tripod","2TREE",12.192,"Unknown",100,9.14,0
"35",1,"2006 - Tripod","2TREE",25.908,"Unknown",100,14.94,0
"37",1,"2006 - Tripod","2TREE",13.716,"Unknown",100,7.01,0
"38",1,"2006 - Tripod","2TREE",6.858,"Unknown",100,4.88,0
"39",1,"2006 - Tripod","2TREE",29.972,"Unknown",100,1.98,0
"40",1,"2006 - Tripod","2TREE",6.35,"Unknown",100,5.18,0
"41",1,"2006 - Tripod","2TREE",21.844,"Unknown",100,7.92,0
"42",1,"2006 - Tripod","2TREE",29.718,"Unknown",100,20.42,0
"43",1,"2006 - Tripod","2TREE",30.48,"Unknown",100,20.12,0
"44",1,"2006 - Tripod","2TREE",13.716,"Unknown",100,4.88,0
"45",1,"2006 - Tripod","2TREE",21.336,"Unknown",100,17.98,0
"46",1,"2006 - Tripod","2TREE",5.334,"Unknown",100,2.44,0
"47",1,"2006 - Tripod","2TREE",21.336,"Unknown",100,19.81,0
"48",1,"2006 - Tripod","2TREE",24.13,"Unknown",100,7.32,0
"49",1,"2006 - Tripod","2TREE",20.574,"Unknown",100,4.88,0
"50",1,"2006 - Tripod","2TREE",24.13,"Unknown",100,6.71,0
"51",1,"2006 - Tripod","2TREE",19.812,"Unknown",100,20.12,0
"52",1,"2006 - Tripod","2TREE",24.892,"Unknown",100,16.76,0
"53",1,"2006 - Tripod","2TREE",32.258,"Unknown",100,20.73,0
"54",1,"2006 - Tripod","2TREE",22.86,"Unknown",100,10.36,0
"55",1,"2006 - Tripod","2TREE",3.302,"Unknown",100,0.15,0
"56",1,"2006 - Tripod","2TREE",38.354,"Unknown",100,2.44,0
"57",1,"2006 - Tripod","2TREE",31.75,"Unknown",100,22.25,0
"58",1,"2006 - Tripod","2TREE",2.032,"Unknown",100,2.44,0
"59",1,"2006 - Tripod","2TREE",28.956,"Unknown",100,17.07,0
"60",1,"2006 - Tripod","2TREE",18.796,"Unknown",100,10.06,0
"61",1,"2006 - Tripod","2TREE",16.256,"Unknown",100,16.76,0
"62",1,"2006 - Tripod","2TREE",24.13,"Unknown",100,9.45,0
"63",1,"2006 - Tripod","2TREE",15.24,"Unknown",100,12.8,0
"64",1,"2006 - Tripod","2TREE",19.812,"Unknown",100,17.98,0
"501",0,"2003 - Griff","ABAM",71.374,"Abies_amabilis",10,6.71,1
"502",0,"2003 - Griff","ABAM",23.622,"Abies_amabilis",0,0.08,0
"503",0,"2003 - Griff","ABAM",46.228,"Abies_amabilis",5,1.83,0
"504",0,"2003 - Griff","ABAM",21.082,"Abies_amabilis",0,0.3,0
"505",0,"2003 - Griff","ABAM",24.384,"Abies_amabilis",0,1.22,0
"506",0,"2003 - Griff","ABAM",42.672,"Abies_amabilis",5,0.61,0
"507",0,"2003 - Griff","ABAM",87.63,"Abies_amabilis",10,7.01,0
"508",0,"2003 - Griff","ABAM",20.574,"Abies_amabilis",1,0.3,0
"509",0,"2003 - Griff","ABAM",57.404,"Abies_amabilis",0,12.5,0
"510",0,"2003 - Griff","ABAM",61.214,"Abies_amabilis",0,6.4,1
"511",0,"2003 - Griff","ABAM",74.422,"Abies_amabilis",15,11.28,0
"512",0,"2003 - Griff","ABAM",43.688,"Abies_amabilis",10,0.91,1
"513",0,"2003 - Griff","ABAM",18.796,"Abies_amabilis",0,0.15,0
"514",0,"2003 - Griff","ABAM",21.844,"Abies_amabilis",0,0.61,0
"515",0,"2003 - Griff","ABAM",32.766,"Abies_amabilis",5,0.91,1
"516",0,"2003 - Griff","ABAM",81.026,"Abies_amabilis",15,5.79,0
"517",0,"2003 - Griff","ABAM",60.706,"Abies_amabilis",0,0.3,1
"518",0,"2003 - Griff","ABAM",24.638,"Abies_amabilis",0,0.3,0
"519",0,"2003 - Griff","ABAM",101.854,"Abies_amabilis",5,1.83,1
"520",0,"2003 - Griff","ABAM",32.512,"Abies_amabilis",0,0.3,0
"521",0,"2003 - Griff","ABAM",32.004,"Abies_amabilis",0,0.3,0
"522",0,"2003 - Griff","ABAM",34.798,"Abies_amabilis",1,0.3,0
"523",0,"2003 - Griff","ABAM",51.816,"Abies_amabilis",0,8.53,0
"524",0,"2003 - Griff","ABAM",76.962,"Abies_amabilis",25,9.75,0
"525",0,"2003 - Griff","ABAM",17.526,"Abies_amabilis",0,0.15,0
"526",0,"2003 - Griff","ABAM",55.118,"Abies_amabilis",0,8.23,0
"527",0,"2003 - Griff","ABAM",77.47,"Abies_amabilis",15,0.61,1
"528",0,"2003 - Griff","ABAM",104.902,"Abies_amabilis",0,6.4,1
"529",0,"2003 - Griff","ABAM",71.374,"Abies_amabilis",0,8.53,0
"530",0,"2003 - Griff","ABAM",113.03,"Abies_amabilis",0,0.15,0
"531",0,"2003 - Griff","ABAM",38.1,"Abies_amabilis",65,2.44,0
"532",0,"2003 - Griff","ABAM",40.894,"Abies_amabilis",5,1.83,1
"533",0,"2003 - Griff","ABAM",38.608,"Abies_amabilis",10,1.22,0
"534",0,"2003 - Griff","ABAM",81.026,"Abies_amabilis",20,8.84,1
"535",0,"2003 - Griff","ABAM",58.928,"Abies_amabilis",10,2.74,0
"536",0,"2003 - Griff","ABAM",31.75,"Abies_amabilis",0,0.3,1
"537",0,"2003 - Griff","ABAM",54.102,"Abies_amabilis",5,0.3,0
"538",0,"2003 - Griff","ABAM",33.274,"Abies_amabilis",0,0,0
"539",0,"2003 - Griff","ABAM",33.274,"Abies_amabilis",0,0.3,0
"540",0,"2003 - Griff","ABAM",47.244,"Abies_amabilis",0,0.3,0
"541",0,"2003 - Griff","ABAM",110.236,"Abies_amabilis",0,3.35,0
"542",0,"2003 - Griff","ABAM",86.614,"Abies_amabilis",0,10.97,0
"543",0,"2003 - Griff","ABAM",102.362,"Abies_amabilis",5,6.1,0
"544",0,"2003 - Griff","ABAM",102.362,"Abies_amabilis",0,1.52,0
"545",0,"2003 - Griff","ABAM",49.53,"Abies_amabilis",40,4.27,1
"546",0,"2003 - Griff","ABAM",101.092,"Abies_amabilis",0,4.88,0
"547",0,"2003 - Griff","ABAM",42.926,"Abies_amabilis",30,0.15,0
"548",0,"2003 - Griff","ABAM",58.166,"Abies_amabilis",0,3.66,1
"549",0,"2003 - Griff","ABAM",56.388,"Abies_amabilis",0,2.13,0
"550",0,"2003 - Griff","ABAM",64.77,"Abies_amabilis",0,4.88,0
"551",0,"2003 - Griff","ABAM",64.008,"Abies_amabilis",0,1.83,0
"552",0,"2003 - Griff","ABAM",27.178,"Abies_amabilis",50,0.3,0
"553",0,"2003 - Griff","ABAM",72.136,"Abies_amabilis",10,3.66,1
"554",0,"2003 - Griff","ABAM",111.76,"Abies_amabilis",0,18.29,0
"555",0,"2003 - Griff","ABAM",61.214,"Abies_amabilis",0,2.44,1
"556",0,"2003 - Griff","ABAM",30.226,"Abies_amabilis",0,1.52,0
"557",0,"2003 - Griff","ABAM",56.896,"Abies_amabilis",0,0.3,0
"558",0,"2003 - Griff","ABAM",35.052,"Abies_amabilis",10,10.06,1
"559",0,"2003 - Griff","ABAM",18.542,"Abies_amabilis",30,0.61,1
"560",0,"2003 - Griff","ABAM",23.622,"Abies_amabilis",0,0.91,1
"561",0,"2003 - Griff","ABAM",43.942,"Abies_amabilis",0,0.61,0
"562",0,"2003 - Griff","ABAM",39.878,"Abies_amabilis",90,7.32,0
"563",0,"2003 - Griff","ABAM",57.912,"Abies_amabilis",0,8.23,0
"564",0,"2003 - Griff","ABAM",31.242,"Abies_amabilis",65,2.13,0
"565",0,"2003 - Griff","ABAM",57.658,"Abies_amabilis",0,0.91,1
